base_score,[481.99327848]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.74248608864897
"(0.0991, 0.298]",14.46059710809811
"(0.298, 0.465]",-2.7621416333081394
"(0.465, 0.982]",-23.265720387456984
"(0.982, 1.0]",-10.272618729455838
"(1.0, inf]",-44.10305969664476
age,Score
"(-inf, 36.0]",-4.156313587194908
"(36.0, 54.0]",-2.2265185690320157
"(54.0, 61.0]",1.9647090275865728
"(61.0, 74.0]",8.012748211819021
"(74.0, inf]",13.7532940008596
DebtRatio,Score
"(-inf, 0.0173]",32.59076020003806
"(0.0173, 0.402]",0.8144689020266423
"(0.402, 1.467]",-8.465355702594195
"(1.467, inf]",3.8307636471390625
MonthlyIncome,Score
"(-inf, 0.103]",17.440266967945515
"(0.103, 0.31]",1.8445153906997005
"(0.31, 5600.0]",-3.244121179680439
"(5600.0, 7733.0]",0.836567768628831
"(7733.0, inf]",4.153319823789076
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.237925239125587
"(1.0, 3.0]",-2.8311239458170556
"(3.0, 5.0]",-0.5103724702219608
"(5.0, 17.0]",1.074284609089866
"(17.0, inf]",3.9189106689711304
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.620528146492448
"(0.0, 1.0]",-13.92137981838824
"(1.0, 2.0]",-21.865547860558692
"(2.0, inf]",-24.569292088798502
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8591192723025793
"(0.0, 1.0]",-28.776689548705
"(1.0, 2.0]",-37.11241455554686
"(2.0, inf]",-39.38894204232755
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.643203515350704
"(0.0, 1.0]",5.236919035209882
"(1.0, 2.0]",16.780323872091255
"(2.0, 4.0]",10.362386165254144
"(4.0, inf]",-7.997282327788961
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0039499115458455
"(0.0, 1.0]",-11.200110577115009
"(1.0, 2.0]",-14.286341377065131
"(2.0, inf]",-14.650492172147484
NumberOfDependents,Score
"(-inf, 0.0]",14.522745145188235
"(0.0, 1.0]",-13.516259610899057
"(1.0, 2.0]",-12.174248585302037
"(2.0, inf]",-11.073692946527549
